Business,City,Product/Service,Startup_Cost_PKR,Cost_per_Unit,Price_per_Unit,Marketing_Channel,Failure_Risk
Shawarma Stand,Karachi,Shawarma Stand,35395,36,48,Flyers,0.49
Handmade Jewelry,Multan,Handmade Jewelry,39957,77,138,Local Advertising,0.43
Veggie Juice Stand,Faisalabad,Veggie Juice Stand,7905,94,166,Word of Mouth,0.43
Stationery Kiosk,Faisalabad,Stationery Kiosk,18594,74,114,Word of Mouth,0.25
Mobile Repair Shop,Lahore,Mobile Repair Shop,17733,86,137,Word of Mouth,0.76
Fitness Trainer,Faisalabad,Fitness Trainer,44577,50,107,Flyers,0.28
Juice Bar,Lahore,Juice Bar,41956,75,169,Social Media,0.44
Mobile Accessories,Lahore,Mobile Accessories,43074,94,107,Word of Mouth,0.41
Handmade Jewelry,Faisalabad,Handmade Jewelry,28770,79,157,Local Advertising,0.18
Ice Cream Cart,Islamabad,Ice Cream Cart,49873,88,169,Flyers,0.36
Handmade Jewelry,Lahore,Handmade Jewelry,5449,65,116,Local Advertising,0.21
Ice Cream Cart,Karachi,Ice Cream Cart,24182,100,126,Flyers,0.79
Fitness Trainer,Faisalabad,Fitness Trainer,42772,14,109,Flyers,0.45
Juice Bar,Multan,Juice Bar,24358,46,137,Word of Mouth,0.71
Coffee Cart,Karachi,Coffee Cart,12443,18,96,Flyers,0.16
Local Snacks Delivery,Karachi,Local Snacks Delivery,15361,57,103,Flyers,0.64
Repair Electronics,Peshawar,Repair Electronics,8968,63,100,Flyers,0.54
Pakora Stall,Lahore,Pakora Stall,31197,15,51,Social Media,0.74
Chai Stall,Karachi,Chai Stall,15785,77,171,Word of Mouth,0.22
Online Tutoring,Multan,Online Tutoring,35794,100,119,Flyers,0.61
Dahi Bhallay Stall,Lahore,Dahi Bhallay Stall,5702,85,117,Flyers,0.35
Ice Cream Cart,Multan,Ice Cream Cart,28519,54,76,Word of Mouth,0.65
Flower Stall,Peshawar,Flower Stall,21698,5,64,Word of Mouth,0.63
Candle Stall,Islamabad,Candle Stall,34611,29,80,Social Media,0.72
Stationery Kiosk,Islamabad,Stationery Kiosk,17592,64,157,Social Media,0.32
Juice Bar,Multan,Juice Bar,47724,15,70,Word of Mouth,0.16
Dahi Bhallay Stall,Faisalabad,Dahi Bhallay Stall,10686,96,191,Word of Mouth,0.14
Veggie Juice Stand,Peshawar,Veggie Juice Stand,16882,65,90,Word of Mouth,0.55
Samosa Stall,Islamabad,Samosa Stall,44155,68,86,Word of Mouth,0.52
Flower Stall,Faisalabad,Flower Stall,5993,52,80,Word of Mouth,0.43
Chai Stall,Karachi,Chai Stall,9586,43,116,Local Advertising,0.58
Mobile Accessories,Multan,Mobile Accessories,47575,51,79,Word of Mouth,0.33
Coffee Cart,Karachi,Coffee Cart,32824,87,149,Local Advertising,0.56
Fresh Milk Seller,Multan,Fresh Milk Seller,32956,28,119,Local Advertising,0.42
